pop,prop,class,label
5246,P170,Q43229,OPT
2481,P170,Q3375722,OPT
20747,P170,Q3658341,OPT
4559,P170,Q6671777,OPT
104093,P170,Q5398426,OPT
86998,P170,Q3658341,OPT
9218,P170,Q63975020,OPT
34336,P170,Q15773317,OPT
251,P170,Q155656,OPT
31428,P170,Q3658341,OPT
8838,P170,Q3658341,OPT
15371,P170,Q3658341,OPT
4408,P170,Q15698310,OPT
54738,P170,Q5398426,OPT
32584,P170,Q5398426,OPT
8579,P170,Q5398426,OPT
57270,P170,Q9174,OPT
17396,P170,Q33125444,OPT
213,P170,Q15416,OPT
7412,P170,Q5398426,OPT
1475,P170,Q5398426,OPT
3824,P170,Q5398426,OPT
144292,P170,Q5398426,OPT
1502,P170,Q3658341,OPT
5041,P170,Q21192438,OPT
32233,P170,Q152081,OPT
3869,P170,Q15711870,OPT
0,P170,Q43229,OPT
843,P115,Q26895936,OPT
1520,P115,Q13027888,OPT
52,P115,Q53532033,OPT
181,P115,Q26895936,OPT
204,P115,Q1539532,OPT
2131,P115,Q13580678,OPT
1167,P115,Q2367225,OPT
1425,P115,Q1539532,OPT
657,P115,Q26895936,OPT
411,P115,Q26894053,OPT
91,P115,Q26895936,OPT
3754,P115,Q2367225,OPT
223,P115,Q54190181,OPT
16236,P115,Q17271186,OPT
78,P115,Q26895936,OPT
642338,P115,Q476028,OPT
116,P115,Q26895936,OPT
104890,P115,Q17156793,OPT
155,P115,Q26895936,OPT
112,P115,Q26894053,OPT
3363,P115,Q43009164,OPT
8254,P115,Q26895936,OPT
2866,P115,Q4498974,OPT
56731,P115,Q476028,OPT
74,P115,Q26894053,OPT
5855,P115,Q476028,OPT
555,P115,Q26895936,OPT
1106,P115,Q26895936,OPT
182,P115,Q26895936,OPT
233,P115,Q26895936,OPT
696,P115,Q26895936,OPT
412,P115,Q26895936,OPT
8622,P115,Q2367225,OPT
67410,P115,Q847017,OPT
3515,P115,Q26895936,OPT
547,P115,Q26895936,OPT
198,P115,Q1539532,OPT
13182,P115,Q17156793,OPT
53,P115,Q1539532,OPT
163,P115,Q26895936,OPT
269,P115,Q17376093,OPT
44600,P115,Q15944511,OPT
145,P115,Q1539532,OPT
587,P115,Q15944511,OPT
89,P115,Q26894053,OPT
106,P115,Q1539532,OPT
11108,P115,Q43009164,OPT
841,P115,Q26895936,OPT
362,P115,Q26895936,OPT
110,P115,Q26895936,OPT
1933,P115,Q15221215,OPT
243,P115,Q1539532,OPT
85,P115,Q26895936,OPT
77,P115,Q1539532,OPT
318,P115,Q26895936,OPT
90,P115,Q1539532,OPT
95,P115,Q26895936,OPT
461,P115,Q1539532,OPT
15900,P115,Q476028,OPT
1016933,P115,Q4830453,OPT
35418,P115,Q476028,OPT
82,P115,Q1539532,OPT
85,P115,Q26895936,OPT
1261,P115,Q13393265,OPT
384,P115,Q26895936,OPT
213,P115,Q26894053,OPT
64,P115,Q1539532,OPT
356,P115,Q26895936,OPT
1563,P115,Q14645593,OPT
68,P115,Q26894053,OPT
145,P115,Q26895936,OPT
766,P115,Q13393265,OPT
321,P115,Q26895936,OPT
63,P115,Q26894053,OPT
289,P115,Q26895936,OPT
161,P115,Q26894053,OPT
26330,P115,Q476028,OPT
103,P115,Q1539532,OPT
159,P115,Q26895936,OPT
134,P115,Q26895936,OPT
111,P115,Q26894053,OPT
4223,P115,Q15944511,OPT
7389,P115,Q476028,OPT
13138,P115,Q476028,OPT
227,P115,Q26895936,OPT
8519,P115,Q2367225,OPT
228,P115,Q26895936,OPT
32888,P115,Q4498974,OPT
247,P115,Q4498974,OPT
96,P115,Q26895936,OPT
3256,P115,Q17376093,OPT
101,P115,Q26895936,OPT
10020,P115,Q18558301,OPT
1644,P115,Q13393265,OPT
356,P115,Q26895936,OPT
69472,P115,Q18558301,OPT
397,P115,Q17374546,OPT
1201,P115,Q26895936,OPT
2748,P115,Q26895936,OPT
1075,P115,Q26895936,OPT
167,P115,Q26895936,OPT
12790,P115,Q18558301,OPT
97,P115,Q26895936,OPT
9783,P115,Q17374546,OPT
180,P115,Q26895936,OPT
3380,P115,Q17156793,OPT
195,P115,Q26895936,OPT
68,P115,Q26894053,OPT
27308,P115,Q476028,OPT
20510,P115,Q58840819,OPT
514,P115,Q26895936,OPT
487,P115,Q26895936,OPT
124,P115,Q1539532,OPT
583,P115,Q26895936,OPT
1318,P115,Q26895936,OPT
174,P115,Q26895936,OPT
474,P115,Q26894053,OPT
155,P115,Q26895936,OPT
262,P115,Q26895936,OPT
1303,P115,Q13027888,OPT
186,P115,Q26895936,OPT
375,P541,Q28222012,OPT
11516,P541,Q4128699,OPT
367,P541,Q1128324,OPT
293,P541,Q15261477,OPT
575,P541,Q28221902,OPT
723,P541,Q22162827,OPT
1631,P541,Q15146717,OPT
206,P541,Q40231,OPT
224,P541,Q7864918,OPT
480,P541,Q15146717,OPT
304,P541,Q28222012,OPT
442,P541,Q28221902,OPT
154,P541,Q40231,OPT
7394,P541,Q6508670,OPT
321,P541,Q186431,OPT
2073,P541,Q22330909,OPT
337,P541,Q40231,OPT
1070,P541,Q1128324,OPT
170,P541,Q1128324,OPT
157,P541,Q40231,OPT
139,P541,Q858439,OPT
351,P541,Q1128324,OPT
157,P541,Q3722112,OPT
138,P541,Q858439,OPT
77014,P541,Q849095,OPT
148,P541,Q40231,OPT
151,P541,Q186431,OPT
1656,P541,Q15283424,OPT
137,P541,Q858439,OPT
234,P541,Q15261477,OPT
61,P541,Q19803127,OPT
111,P541,Q19803127,OPT
20016,P541,Q4128699,OPT
943,P541,Q28221947,OPT
151,P541,Q19803127,OPT
1580,P103,Q5,OPT
116,P103,Q5,OPT
2172,P103,Q5,OPT
178,P103,Q5,OPT
106,P103,Q5,OPT
319,P103,Q41710,OPT
7004,P103,Q41710,OPT
2473,P103,Q5,OPT
317,P103,Q5,OPT
9462,P103,Q5,OPT
12103,P103,Q5,OPT
2512,P103,Q5,OPT
50619,P103,Q41710,OPT
417,P103,Q5,OPT
103737,P103,Q5,OPT
168,P103,Q5,OPT
4643,P103,Q5,OPT
354,P103,Q5,OPT
2369,P103,Q41710,OPT
17533,P103,Q5,OPT
11766,P103,Q5,OPT
458,P103,Q5,OPT
279,P103,Q5,OPT
91,P103,Q5,OPT
62562,P103,Q5,OPT
239,P103,Q5,OPT
16305,P103,Q41710,OPT
8410,P103,Q41710,OPT
517,P103,Q5,OPT
496,P103,Q5,OPT
961,P103,Q5,OPT
49053,P103,Q5,OPT
253,P103,Q5,OPT
2089,P103,Q5,OPT
30169,P103,Q5,OPT
299,P103,Q2655841,OPT
419,P103,Q5,OPT
95905,P103,Q5,OPT
874,P103,Q5,OPT
2473,P103,Q5,OPT
2748,P103,Q5,OPT
5886,P103,Q5,OPT
1871,P103,Q15008703,OPT
74,P103,Q5,OPT
254,P103,Q5,OPT
873,P103,Q132241,OPT
766,P103,Q5,OPT
5849,P103,Q5,OPT
47391,P103,Q5,OPT
5186,P103,Q5,OPT
349,P103,Q5,OPT
3034,P103,Q5,OPT
429,P103,Q5,OPT
11804,P103,Q5,OPT
1573,P103,Q5,OPT
343,P103,Q5,OPT
295,P103,Q5,OPT
134,P103,Q5,OPT
315,P103,Q5,OPT
1857,P103,Q5,OPT
3579,P103,Q41710,OPT
91,P103,Q5,OPT
8774,P103,Q5,OPT
1946,P103,Q5,OPT
931,P103,Q5,OPT
151,P103,Q5,OPT
305,P103,Q5,OPT
962,P103,Q5,OPT
275,P103,Q5,OPT
421129,P103,Q5,OPT
277,P103,Q5,OPT
1488,P103,Q5,OPT
189,P103,Q5,OPT
179,P103,Q5,OPT
76101,P103,Q5,OPT
8727,P103,Q5,OPT
12929,P103,Q5,OPT
731,P103,Q5,OPT
2822,P103,Q5,OPT
40031,P103,Q41710,OPT
209877,P103,Q5,OPT
87,P103,Q5,OPT
463,P103,Q5,OPT
2000,P103,Q5,OPT
975,P103,Q5,OPT
3411,P103,Q5,OPT
169,P103,Q5,OPT
51128,P103,Q5,OPT
2391,P103,Q5,OPT
579,P103,Q5,OPT
318,P103,Q5,OPT
168,P103,Q5,OPT
172,P103,Q5,OPT
248,P103,Q5,OPT
248,P103,Q5,OPT
3652,P103,Q5,OPT
83,P103,Q5,OPT
225,P103,Q5,OPT
552,P103,Q5,OPT
1874,P103,Q5,OPT
268,P103,Q5,OPT
1582,P103,Q5,OPT
908,P103,Q5,OPT
1497,P103,Q5,OPT
2369,P103,Q5,OPT
74,P103,Q5,OPT
401,P103,Q5,OPT
237,P103,Q5,OPT
2799,P103,Q8432,OPT
1650,P103,Q5,OPT
57,P103,Q5,OPT
744,P103,Q5,OPT
160,P103,Q5,OPT
5939,P103,Q22947,OPT
11746,P103,Q5,OPT
555,P103,Q5,OPT
281,P103,Q5,OPT
159,P103,Q5,OPT
854,P103,Q5,OPT
2886,P103,Q5,OPT
6860,P103,Q3117863,OPT
2205,P103,Q5,OPT
2095,P103,Q5,OPT
83,P103,Q5,OPT
168,P103,Q5,OPT
12210,P103,Q5,OPT
561,P103,Q5,OPT
279,P103,Q5,OPT
946,P103,Q5,OPT
608,P103,Q5,OPT
2190,P103,Q5,OPT
458,P103,Q1114461,OPT
253,P103,Q5,OPT
828,P103,Q41710,OPT
56228,P103,Q5,OPT
11095,P103,Q5,OPT
38257,P103,Q5,OPT
147516,P103,Q5,OPT
3742,P103,Q41710,OPT
16041,P103,Q5,OPT
1093,P103,Q5,OPT
750,P103,Q5,OPT
609,P103,Q5,OPT
968,P103,Q5,OPT
973,P103,Q5,OPT
1590,P103,Q5,OPT
374,P103,Q5,OPT
303,P103,Q5,OPT
300,P103,Q5,OPT
21429,P103,Q5,OPT
228,P103,Q5,OPT
11915,P103,Q6266,OPT
724,P103,Q5,OPT
9985,P103,Q5,OPT
6682,P103,Q5,OPT
3299,P103,Q5,OPT
578,P103,Q5,OPT
298,P103,Q5,OPT
2042,P103,Q5,OPT
1924,P103,Q5,OPT
232,P103,Q5,OPT
132,P103,Q5,OPT
258,P103,Q5,OPT
1272,P103,Q5,OPT
3788,P103,Q5,OPT
29439,P103,Q5,OPT
222,P103,Q5,OPT
404,P103,Q5,OPT
31351,P103,Q5,OPT
27169,P103,Q5,OPT
14526,P103,Q5,OPT
717,P103,Q5,OPT
183,P103,Q5,OPT
1676,P103,Q5,OPT
257,P103,Q2655841,OPT
22273,P103,Q5,OPT
413,P103,Q5,OPT
207,P105,Q16521,OPT
219,P105,Q16521,OPT
124,P105,Q23038290,OPT
82,P105,Q16521,OPT
47,P105,Q23038290,OPT
2428,P105,Q16521,OPT
115,P105,Q16521,OPT
504,P105,Q23038290,OPT
225,P105,Q16521,OPT
125,P105,Q16521,OPT
48,P105,Q310890,OPT
38,P105,Q310890,OPT
401,P105,Q16521,OPT
49,P105,Q23038290,OPT
50,P105,Q23038290,OPT
261,P105,Q16521,OPT
206,P105,Q16521,OPT
3214,P105,Q16521,OPT
621,P105,Q16521,OPT
114,P105,Q16521,OPT
330,P105,Q16521,OPT
248,P105,Q16521,OPT
15,P105,Q16521,OPT
108,P105,Q16521,OPT
1830,P105,Q16521,OPT
23302,P105,Q16521,OPT
22,P105,Q23038290,OPT
177,P105,Q16521,OPT
633,P105,Q16521,OPT
160,P105,Q16521,OPT
244,P105,Q16521,OPT
827,P105,Q16521,OPT
115,P105,Q16521,OPT
172,P105,Q16521,OPT
270,P105,Q16521,OPT
82,P105,Q16521,OPT
18455,P105,Q16521,OPT
123,P105,Q16521,OPT
17,P105,Q16521,OPT
100,P105,Q23038290,OPT
145,P105,Q16521,OPT
2910,P105,Q16521,OPT
13514,P105,Q16521,OPT
177,P105,Q16521,OPT
141,P105,Q16521,OPT
162,P105,Q16521,OPT
3179,P105,Q16521,OPT
1885,P105,Q16521,OPT
3093,P105,Q16521,OPT
98,P105,Q310890,OPT
673,P105,Q16521,OPT
81,P105,Q310890,OPT
519,P105,Q16521,OPT
282,P105,Q23038290,OPT
82,P105,Q16521,OPT
102,P105,Q16521,OPT
88,P105,Q23038290,OPT
0,P105,Q16521,OPT
165,P105,Q23038290,OPT
214,P105,Q16521,OPT
551,P105,Q16521,OPT
214,P105,Q16521,OPT
73,P105,Q23038290,OPT
443,P105,Q16521,OPT
170,P105,Q16521,OPT
241,P105,Q16521,OPT
647,P105,Q16521,OPT
37,P105,Q23038290,OPT
102,P105,Q16521,OPT
53,P105,Q23038290,OPT
198,P105,Q16521,OPT
29686,P105,Q16521,OPT
454,P105,Q16521,OPT
277,P105,Q16521,OPT
190,P105,Q16521,OPT
5320,P105,Q16521,OPT
298,P105,Q16521,OPT
176287,P1433,Q21198342,OPT
33,P1433,Q87167,OPT
82,P1433,Q87167,OPT
349,P1433,Q21198342,OPT
39,P1433,Q87167,OPT
19287,P1433,Q21198342,OPT
71,P1433,Q87167,OPT
70,P1433,Q87167,OPT
44,P1433,Q87167,OPT
50,P1433,Q87167,OPT
65,P1433,Q87167,OPT
45,P1433,Q87167,OPT
52,P1433,Q87167,OPT
73,P1433,Q87167,OPT
102,P1433,Q87167,OPT
45,P1433,Q87167,OPT
122,P1433,Q87167,OPT
52,P1433,Q87167,OPT
226,P1433,Q1440453,OPT
67,P1433,Q87167,OPT
420,P1433,Q87167,OPT
205,P1433,Q1440453,OPT
90,P1433,Q87167,OPT
90,P1433,Q87167,OPT
5375,P1433,Q7725634,OPT
49,P1433,Q87167,OPT
41,P1433,Q87167,OPT
213,P1433,Q87167,OPT
55,P1433,Q87167,OPT
35,P1433,Q87167,OPT
41,P1433,Q87167,OPT
67,P1433,Q87167,OPT
67,P1433,Q87167,OPT
59131,P1433,Q7725634,OPT
192,P1433,Q87167,OPT
37,P1433,Q87167,OPT
37,P1433,Q87167,OPT
2918,P1433,Q2334719,OPT
256,P1433,Q87167,OPT
66,P1433,Q87167,OPT
1590,P1433,Q7725634,OPT
2219,P1433,Q87167,OPT
20352,P1433,Q21198342,OPT
49,P1433,Q87167,OPT
63,P1433,Q87167,OPT
1498,P1433,Q7725634,OPT
55,P1433,Q87167,OPT
7709,P1433,Q7725634,OPT
58,P1433,Q87167,OPT
42,P1433,Q87167,OPT
73,P1433,Q87167,OPT
214,P1433,Q87167,OPT
42,P1433,Q87167,OPT
32,P1433,Q87167,OPT
56,P1433,Q87167,OPT
399,P1433,Q47461344,OPT
108,P1433,Q87167,OPT
